ref_date,ibov
2000-01-01,
2000-01-03,16930.42
2000-01-04,15851.0
2000-01-05,16245.14
2000-01-06,16106.89
2000-01-07,16309.15
2000-01-10,17022.13
2000-01-11,16572.72
2000-01-12,16616.87
2000-01-13,17298.07
2000-01-14,17657.95
2000-01-17,18053.22
2000-01-18,17903.23
2000-01-19,17470.24
2000-01-20,17176.73
2000-01-21,17034.21
2000-01-24,16971.73
2000-01-26,17105.26
2000-01-27,17081.16
2000-01-28,16734.39
2000-01-31,16388.27
2000-02-01,16522.2
2000-02-02,16868.46
2000-02-03,17457.12
2000-02-04,17932.47
2000-02-07,18125.6
2000-02-08,18685.58
2000-02-09,18361.39
2000-02-10,18603.81
2000-02-11,18083.46
2000-02-14,17819.01
2000-02-15,17920.73
2000-02-16,18112.47
2000-02-17,17979.41
2000-02-18,17625.02
2000-02-21,17699.76
2000-02-22,17489.33
2000-02-23,17833.39
2000-02-24,17775.79
2000-02-25,17786.82
2000-02-28,17542.7
2000-02-29,17660.2
2000-03-01,17953.01
2000-03-02,18015.5
2000-03-03,18631.73
2000-03-08,18282.93
2000-03-09,18650.46
2000-03-10,18280.35
2000-03-13,17594.82
2000-03-14,17221.88
2000-03-15,17381.6
2000-03-16,17642.22
2000-03-17,17511.24
2000-03-20,17525.59
2000-03-21,18342.79
2000-03-22,18314.0
2000-03-23,18331.05
2000-03-24,18674.53
2000-03-27,18951.48
2000-03-28,18337.9
2000-03-29,18053.36
2000-03-30,17646.77
2000-03-31,17820.37
2000-04-03,17245.47
2000-04-04,16757.93
2000-04-05,16714.37
2000-04-06,17146.13
2000-04-07,17513.72
2000-04-10,16783.32
2000-04-11,16539.35
2000-04-12,16323.36
2000-04-13,15500.81
2000-04-14,14794.34
2000-04-17,14815.68
2000-04-18,15408.4
2000-04-19,14926.15
2000-04-20,15203.21
2000-04-24,14794.23
2000-04-25,15400.58
2000-04-26,15446.36
2000-04-27,15440.11
2000-04-28,15537.6
2000-05-02,15524.13
2000-05-03,15108.56
2000-05-04,14969.59
2000-05-05,15217.86
2000-05-08,14890.96
2000-05-09,14581.52
2000-05-10,14433.81
2000-05-11,14498.54
2000-05-12,14458.94
2000-05-15,15055.53
2000-05-16,15360.4
2000-05-17,14870.53
2000-05-18,14626.69
2000-05-19,14326.63
2000-05-22,13891.24
2000-05-23,13587.16
2000-05-24,14166.4
2000-05-25,14185.61
2000-05-26,14542.26
2000-05-29,14772.63
2000-05-30,15248.55
2000-05-31,14956.61
2000-06-01,15450.04
2000-06-02,16222.48
2000-06-05,16022.93
2000-06-06,15946.63
2000-06-07,16271.74
2000-06-08,16398.8
2000-06-09,16342.28
2000-06-12,16096.7
2000-06-13,16354.47
2000-06-14,16366.1
2000-06-15,16561.37
2000-06-16,16424.93
2000-06-19,16850.03
2000-06-20,16843.58
2000-06-21,17254.26
2000-06-23,16977.26
2000-06-26,16744.8
2000-06-27,16512.93
2000-06-28,16842.29
2000-06-29,16407.16
2000-06-30,16727.95
2000-07-03,17088.54
2000-07-04,17279.21
2000-07-05,17134.93
2000-07-06,17348.07
2000-07-07,17598.83
2000-07-10,17471.63
2000-07-11,16880.66
2000-07-12,17053.38
2000-07-13,16444.25
2000-07-14,16880.95
2000-07-17,17387.88
2000-07-18,17368.59
2000-07-19,16927.55
2000-07-20,17203.62
2000-07-21,17318.24
2000-07-24,17385.98
2000-07-25,17049.42
2000-07-26,17121.3
2000-07-27,16948.73
2000-07-28,16485.69
2000-07-31,16454.6
2000-08-01,16289.87
2000-08-02,16314.47
2000-08-03,16720.76
2000-08-04,16761.25
2000-08-07,16995.8
2000-08-08,16884.77
2000-08-09,16533.67
2000-08-10,16834.8
2000-08-11,17395.0
2000-08-14,17810.63
2000-08-15,17744.13
2000-08-16,17330.77
2000-08-17,17702.52
2000-08-18,17313.69
2000-08-21,17083.38
2000-08-22,17224.43
2000-08-23,17450.44
2000-08-24,17310.96
2000-08-25,17642.67
2000-08-28,17460.33
2000-08-29,17354.89
2000-08-30,17414.28
2000-08-31,17346.7
2000-09-01,17577.42
2000-09-04,17613.17
2000-09-05,17424.97
2000-09-06,17589.66
2000-09-08,17433.17
2000-09-11,17287.65
2000-09-12,16882.69
2000-09-13,16998.51
2000-09-14,16768.53
2000-09-15,16563.18
2000-09-18,15913.13
2000-09-19,16188.45
2000-09-20,16077.7
2000-09-21,16146.02
2000-09-22,16353.09
2000-09-25,16318.55
2000-09-26,16254.93
2000-09-27,15848.12
2000-09-28,16013.69
2000-09-29,15928.39
2000-10-02,15559.3
2000-10-03,15633.27
2000-10-04,15876.39
2000-10-05,16362.05
2000-10-06,15945.91
2000-10-09,15855.31
2000-10-10,15747.09
2000-10-11,15526.05
2000-10-13,15385.08
2000-10-16,15241.85
2000-10-17,14870.13
2000-10-18,14420.72
2000-10-19,14845.14
2000-10-20,14529.41
2000-10-23,13989.84
2000-10-24,13799.19
2000-10-25,13665.31
2000-10-26,14223.13
2000-10-27,14691.68
2000-10-30,14891.14
2000-10-31,14867.23
2000-11-01,14791.19
2000-11-03,14533.96
2000-11-06,14800.91
2000-11-07,14968.75
2000-11-08,14656.3
2000-11-09,14524.38
2000-11-10,14625.95
2000-11-13,14371.81
2000-11-14,14540.27
2000-11-16,14489.96
2000-11-17,14323.22
2000-11-20,14499.8
2000-11-21,14783.73
2000-11-22,14576.98
2000-11-23,14314.45
2000-11-24,14335.5
2000-11-27,14008.2
2000-11-28,13913.85
2000-11-29,13787.52
2000-11-30,13287.39
2000-12-01,13437.49
2000-12-04,13510.0
2000-12-05,14181.62
2000-12-06,13945.41
2000-12-07,14459.98
2000-12-08,14982.99
2000-12-11,15187.95
2000-12-12,14906.02
2000-12-13,15290.51
2000-12-14,15259.0
2000-12-15,14987.95
2000-12-18,15082.75
2000-12-19,15336.11
2000-12-20,14622.41
2000-12-21,14505.45
2000-12-22,14652.06
2000-12-26,14794.58
2000-12-27,15186.15
