ref_date,uc1
2000-01-01,1.0
2000-01-03,1837.5
2000-01-04,1872.0
2000-01-05,1852.0
2000-01-06,1854.0
2000-01-07,1836.0
2000-01-10,1824.5
2000-01-11,1832.5
2000-01-12,1838.0
2000-01-13,1822.5
2000-01-14,1813.0
2000-01-17,1801.0
2000-01-18,1800.5
2000-01-19,1795.0
2000-01-20,1788.0
2000-01-21,1777.5
2000-01-24,1777.0
2000-01-25,
2000-01-26,1780.5
2000-01-27,1781.5
2000-01-28,1799.0
2000-01-31,1803.5
2000-02-01,1805.0
2000-02-02,1799.0
2000-02-03,1800.0
2000-02-04,1780.5
2000-02-07,1780.5
2000-02-08,1775.5
2000-02-09,1778.0
2000-02-10,1775.0
2000-02-11,1777.5
2000-02-14,1783.0
2000-02-15,1786.0
2000-02-16,1782.5
2000-02-17,1780.0
2000-02-18,1785.0
2000-02-21,1785.0
2000-02-22,1791.0
2000-02-23,1786.0
2000-02-24,1780.5
2000-02-25,1775.0
2000-02-28,1778.0
2000-02-29,1768.8
2000-03-01,1779.5
2000-03-02,1771.0
2000-03-03,1758.5
2000-03-07,
2000-03-08,1753.5
2000-03-09,1752.5
2000-03-10,1757.5
2000-03-13,1754.0
2000-03-14,1747.5
2000-03-15,1748.0
2000-03-16,1746.5
2000-03-17,1746.0
2000-03-20,1742.0
2000-03-21,1742.0
2000-03-22,1734.0
2000-03-23,1724.0
2000-03-24,1737.0
2000-03-27,1751.0
2000-03-28,1743.5
2000-03-29,1745.5
2000-03-30,1748.0
2000-03-31,1747.0
2000-04-03,1753.5
2000-04-04,1757.0
2000-04-05,1757.0
2000-04-06,1757.0
2000-04-07,1751.0
2000-04-10,1752.0
2000-04-11,1751.0
2000-04-12,1762.0
2000-04-13,1790.0
2000-04-14,1785.0
2000-04-17,1781.0
2000-04-18,1766.0
2000-04-19,1780.0
2000-04-20,1781.0
2000-04-24,1796.5
2000-04-25,1791.0
2000-04-26,1802.5
2000-04-27,1807.0
2000-04-28,1806.7
2000-05-02,1817.0
2000-05-03,1832.5
2000-05-04,1827.0
2000-05-05,1816.0
2000-05-08,1821.0
2000-05-09,1824.0
2000-05-10,1830.5
2000-05-11,1836.5
2000-05-12,1846.5
2000-05-15,1834.0
2000-05-16,1830.5
2000-05-17,1838.0
2000-05-18,1844.0
2000-05-19,1847.0
2000-05-22,1855.5
2000-05-23,1861.0
2000-05-24,1844.5
2000-05-25,1850.0
2000-05-26,1836.0
2000-05-29,1839.0
2000-05-30,1832.5
2000-05-31,1827.0
2000-06-01,1834.0
2000-06-02,1814.0
2000-06-05,1803.0
2000-06-06,1813.5
2000-06-07,1805.5
2000-06-08,1814.0
2000-06-09,1813.5
2000-06-12,1816.5
2000-06-13,1820.5
2000-06-14,1818.5
2000-06-15,1819.5
2000-06-16,1811.0
2000-06-19,1809.5
2000-06-20,1806.5
2000-06-21,1815.5
2000-06-22,
2000-06-23,1830.5
2000-06-26,1827.0
2000-06-27,1826.0
2000-06-28,1822.5
2000-06-29,1813.0
2000-06-30,1800.0
2000-07-03,1830.0
2000-07-04,1825.5
2000-07-05,1818.0
2000-07-06,1817.0
2000-07-07,1815.0
2000-07-10,1808.5
2000-07-11,1817.5
2000-07-12,1815.5
2000-07-13,1825.0
2000-07-14,1814.0
2000-07-17,1806.5
2000-07-18,1806.5
2000-07-19,1812.0
2000-07-20,1804.5
2000-07-21,1804.0
2000-07-24,1798.0
2000-07-25,1795.0
2000-07-26,1791.0
2000-07-27,1782.0
2000-07-28,1785.0
2000-07-31,1774.6
2000-08-01,1807.5
2000-08-02,1814.5
2000-08-03,1808.5
2000-08-04,1807.0
2000-08-07,1811.0
2000-08-08,1804.5
2000-08-09,1808.0
2000-08-10,1807.0
2000-08-11,1810.5
2000-08-14,1814.5
2000-08-15,1813.5
2000-08-16,1822.0
2000-08-17,1819.0
2000-08-18,1825.5
2000-08-21,1827.5
2000-08-22,1821.0
2000-08-23,1827.5
2000-08-24,1824.5
2000-08-25,1827.0
2000-08-28,1835.0
2000-08-29,1828.5
2000-08-30,1824.5
2000-08-31,1823.5
2000-09-01,1838.5
2000-09-04,1840.5
2000-09-05,1836.0
2000-09-06,1832.5
2000-09-07,
2000-09-08,1828.0
2000-09-11,1832.5
2000-09-12,1840.0
2000-09-13,1840.0
2000-09-14,1846.5
2000-09-15,1852.0
2000-09-18,1864.5
2000-09-19,1857.5
2000-09-20,1861.0
2000-09-21,1858.5
2000-09-22,1848.0
2000-09-25,1849.5
2000-09-26,1852.0
2000-09-27,1850.5
2000-09-28,1843.0
2000-09-29,1843.5
2000-10-02,1864.0
2000-10-03,1863.0
2000-10-04,1862.5
2000-10-05,1856.0
2000-10-06,1864.0
2000-10-09,1861.5
2000-10-10,1863.0
2000-10-11,1867.0
2000-10-12,
2000-10-13,1878.0
2000-10-16,1871.5
2000-10-17,1876.5
2000-10-18,1878.5
2000-10-19,1882.0
2000-10-20,1891.0
2000-10-23,1898.5
2000-10-24,1912.0
2000-10-25,1924.5
2000-10-26,1938.0
2000-10-27,1915.0
2000-10-30,1914.5
2000-10-31,1908.5
2000-11-01,1929.0
2000-11-02,
2000-11-03,1954.0
2000-11-06,1946.5
2000-11-07,1962.0
2000-11-08,1977.0
2000-11-09,1970.0
2000-11-10,1957.0
2000-11-13,1959.0
2000-11-14,1955.5
2000-11-15,
2000-11-16,1956.0
2000-11-17,1972.0
2000-11-20,1918.5
2000-11-21,1922.5
2000-11-22,1934.0
2000-11-23,1955.5
2000-11-24,1961.5
2000-11-27,1972.0
2000-11-28,1968.5
2000-11-29,1955.0
2000-11-30,1960.5
2000-12-01,1983.5
2000-12-04,1989.0
2000-12-05,1967.5
2000-12-06,1983.0
2000-12-07,1982.0
2000-12-08,1974.0
2000-12-11,1971.0
2000-12-12,1971.5
2000-12-13,1972.0
2000-12-14,1965.01
2000-12-15,1967.5
2000-12-18,1961.5
2000-12-19,1956.0
2000-12-20,1961.0
2000-12-21,1955.0
2000-12-22,1957.0
2000-12-26,1962.0
2000-12-27,1956.0
2000-12-28,1956.0
2001-01-02,1958.0
2001-01-03,1940.5
2001-01-04,1954.0
2001-01-05,1964.0
2001-01-08,1961.0
2001-01-09,1951.0
2001-01-10,1951.5
2001-01-11,1963.0
2001-01-12,1957.0
2001-01-15,1955.5
2001-01-16,1957.0
2001-01-17,1961.0
2001-01-18,1957.5
2001-01-19,1961.0
2001-01-22,1960.5
2001-01-23,1964.5
2001-01-24,1970.5
2001-01-25,
2001-01-26,1972.0
2001-01-29,1973.0
2001-01-30,1966.5
2001-01-31,1971.5
2001-02-01,1997.5
2001-02-02,1999.0
2001-02-05,2009.0
2001-02-06,2010.0
2001-02-07,2010.0
2001-02-08,1997.5
2001-02-09,1989.5
2001-02-12,1988.1
2001-02-13,1991.0
2001-02-14,1992.0
2001-02-15,1990.0
2001-02-16,2007.0
2001-02-19,2005.5
2001-02-20,2008.5
2001-02-21,2010.0
2001-02-22,2038.0
2001-02-23,2037.0
2001-02-27,
2001-02-28,
2001-03-01,2054.0
2001-03-02,2037.0
2001-03-05,
2001-03-06,2035.7
2001-03-07,2049.5
2001-03-08,2052.0
2001-03-09,2053.5
2001-03-12,
2001-03-13,
2001-03-14,
2001-03-15,2086.5
2001-03-16,2135.0
2001-03-19,
2001-03-20,
2001-03-21,
2001-03-22,2169.0
2001-03-23,2161.0
2001-03-26,
2001-03-27,2145.0
2001-03-28,
2001-03-29,
2001-03-30,2148.0
2001-04-02,2187.5
2001-04-03,2188.5
2001-04-04,2199.5
2001-04-05,2189.0
2001-04-06,2177.0
2001-04-09,
2001-04-10,2167.5
